date,SEMCUSA Index,SIMCUSA Index,SIMCKREA Index,SEMCKREA Index,SIMCMALY Index,SEMCMALY Index,SIMCCHNA Index,SEMCCHNA Index,SIMCTHAI Index,SEMCTHAI Index,SIMCINDO Index,SEMCINDO Index,SIMCTAIW Index,SEMCTAIW Index,SIMCINDI Index,SEMCINDI Index,SIMCJAPN Index,SEMCJAPN Index,SIMCAUST Index,SEMCAUST Index,SIMCUK Index,SEMCUK Index,SIMCEURP Index,SEMCEURP Index
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-02,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-05,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-06,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-07,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-08,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-09,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-12,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-13,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-14,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-15,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-16,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-19,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-20,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-21,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-22,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-23,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-26,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-27,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-28,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-29,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-30,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-02,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-03,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-04,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-05,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-06,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-09,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-10,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-11,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-12,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-13,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-16,,,,,,,,,,,,,,,,,,,,,,,,
