date,USD Curncy,KRW Curncy,MYR Curncy,CNY Curncy,THB Curncy,IDR Curncy,TWD Curncy,INR Curncy,JPY Curncy,AUD Curncy,GBP Curncy,EUR Curncy
1970-01-01,,,,,,,,,,,,
1970-01-02,,,,,,,,,,,,
1970-01-05,,,,,,,,,,,,
1970-01-06,,,,,,,,,,,,
1970-01-07,,,,,,,,,,,,
1970-01-08,,,,,,,,,,,,
1970-01-09,,,,,,,,,,,,
1970-01-12,,,,,,,,,,,,
1970-01-13,,,,,,,,,,,,
1970-01-14,,,,,,,,,,,,
1970-01-15,,,,,,,,,,,,
1970-01-16,,,,,,,,,,,,
1970-01-19,,,,,,,,,,,,
1970-01-20,,,,,,,,,,,,
1970-01-21,,,,,,,,,,,,
1970-01-22,,,,,,,,,,,,
1970-01-23,,,,,,,,,,,,
1970-01-26,,,,,,,,,,,,
1970-01-27,,,,,,,,,,,,
1970-01-28,,,,,,,,,,,,
1970-01-29,,,,,,,,,,,,
1970-01-30,,,,,,,,,,,,
1970-02-02,,,,,,,,,,,,
1970-02-03,,,,,,,,,,,,
1970-02-04,,,,,,,,,,,,
1970-02-05,,,,,,,,,,,,
1970-02-06,,,,,,,,,,,,
1970-02-09,,,,,,,,,,,,
1970-02-10,,,,,,,,,,,,
1970-02-11,,,,,,,,,,,,
1970-02-12,,,,,,,,,,,,
1970-02-13,,,,,,,,,,,,
1970-02-16,,,,,,,,,,,,
1970-02-17,,,,,,,,,,,,
1970-02-18,,,,,,,,,,,,
1970-02-19,,,,,,,,,,,,
1970-02-20,,,,,,,,,,,,
1970-02-23,,,,,,,,,,,,
1970-02-24,,,,,,,,,,,,
1970-02-25,,,,,,,,,,,,
1970-02-26,,,,,,,,,,,,
1970-02-27,,,,,,,,,,,,
1970-03-02,,,,,,,,,,,,
1970-03-03,,,,,,,,,,,,
1970-03-04,,,,,,,,,,,,
1970-03-05,,,,,,,,,,,,
1970-03-06,,,,,,,,,,,,
1970-03-09,,,,,,,,,,,,
1970-03-10,,,,,,,,,,,,
1970-03-11,,,,,,,,,,,,
1970-03-12,,,,,,,,,,,,
1970-03-13,,,,,,,,,,,,
1970-03-16,,,,,,,,,,,,
1970-03-17,,,,,,,,,,,,
1970-03-18,,,,,,,,,,,,
1970-03-19,,,,,,,,,,,,
1970-03-20,,,,,,,,,,,,
1970-03-23,,,,,,,,,,,,
1970-03-24,,,,,,,,,,,,
1970-03-25,,,,,,,,,,,,
1970-03-26,,,,,,,,,,,,
